,match_id,batting_team,bowling_team,ball,runs,player_dismissed,city,venue
149,2,Australia,Sri Lanka,3.6,4,0,Victoria,"Simonds Stadium, South Geelong"
150,2,Australia,Sri Lanka,3.7,0,0,Victoria,"Simonds Stadium, South Geelong"
151,2,Australia,Sri Lanka,4.1,0,0,Victoria,"Simonds Stadium, South Geelong"
152,2,Australia,Sri Lanka,4.2,0,0,Victoria,"Simonds Stadium, South Geelong"
153,2,Australia,Sri Lanka,4.3,1,0,Victoria,"Simonds Stadium, South Geelong"
154,2,Australia,Sri Lanka,4.4,4,0,Victoria,"Simonds Stadium, South Geelong"
155,2,Australia,Sri Lanka,4.5,1,0,Victoria,"Simonds Stadium, South Geelong"
156,2,Australia,Sri Lanka,4.6,2,0,Victoria,"Simonds Stadium, South Geelong"
157,2,Australia,Sri Lanka,5.1,4,0,Victoria,"Simonds Stadium, South Geelong"
158,2,Australia,Sri Lanka,5.2,0,0,Victoria,"Simonds Stadium, South Geelong"
159,2,Australia,Sri Lanka,5.3,6,0,Victoria,"Simonds Stadium, South Geelong"
160,2,Australia,Sri Lanka,5.4,6,0,Victoria,"Simonds Stadium, South Geelong"
161,2,Australia,Sri Lanka,5.5,0,0,Victoria,"Simonds Stadium, South Geelong"
162,2,Australia,Sri Lanka,5.6,6,0,Victoria,"Simonds Stadium, South Geelong"
163,2,Australia,Sri Lanka,6.1,1,0,Victoria,"Simonds Stadium, South Geelong"
164,2,Australia,Sri Lanka,6.2,1,0,Victoria,"Simonds Stadium, South Geelong"
165,2,Australia,Sri Lanka,6.3,1,0,Victoria,"Simonds Stadium, South Geelong"
166,2,Australia,Sri Lanka,6.4,0,BR Dunk,Victoria,"Simonds Stadium, South Geelong"
167,2,Australia,Sri Lanka,6.5,1,0,Victoria,"Simonds Stadium, South Geelong"
168,2,Australia,Sri Lanka,6.6,0,0,Victoria,"Simonds Stadium, South Geelong"
169,2,Australia,Sri Lanka,7.1,1,0,Victoria,"Simonds Stadium, South Geelong"
170,2,Australia,Sri Lanka,7.2,0,0,Victoria,"Simonds Stadium, South Geelong"
171,2,Australia,Sri Lanka,7.3,0,0,Victoria,"Simonds Stadium, South Geelong"
172,2,Australia,Sri Lanka,7.4,1,0,Victoria,"Simonds Stadium, South Geelong"
173,2,Australia,Sri Lanka,7.5,1,0,Victoria,"Simonds Stadium, South Geelong"
174,2,Australia,Sri Lanka,7.6,0,0,Victoria,"Simonds Stadium, South Geelong"
175,2,Australia,Sri Lanka,8.1,1,0,Victoria,"Simonds Stadium, South Geelong"
176,2,Australia,Sri Lanka,8.2,2,0,Victoria,"Simonds Stadium, South Geelong"
177,2,Australia,Sri Lanka,8.3,1,0,Victoria,"Simonds Stadium, South Geelong"
178,2,Australia,Sri Lanka,8.4,1,0,Victoria,"Simonds Stadium, South Geelong"
179,2,Australia,Sri Lanka,8.5,1,0,Victoria,"Simonds Stadium, South Geelong"
180,2,Australia,Sri Lanka,8.6,1,0,Victoria,"Simonds Stadium, South Geelong"
181,2,Australia,Sri Lanka,9.1,0,0,Victoria,"Simonds Stadium, South Geelong"
182,2,Australia,Sri Lanka,9.2,2,0,Victoria,"Simonds Stadium, South Geelong"
183,2,Australia,Sri Lanka,9.3,0,0,Victoria,"Simonds Stadium, South Geelong"
184,2,Australia,Sri Lanka,9.4,1,0,Victoria,"Simonds Stadium, South Geelong"
185,2,Australia,Sri Lanka,9.5,2,0,Victoria,"Simonds Stadium, South Geelong"
186,2,Australia,Sri Lanka,9.6,1,0,Victoria,"Simonds Stadium, South Geelong"
187,2,Australia,Sri Lanka,10.1,6,0,Victoria,"Simonds Stadium, South Geelong"
188,2,Australia,Sri Lanka,10.2,1,0,Victoria,"Simonds Stadium, South Geelong"
189,2,Australia,Sri Lanka,10.3,0,0,Victoria,"Simonds Stadium, South Geelong"
190,2,Australia,Sri Lanka,10.4,1,0,Victoria,"Simonds Stadium, South Geelong"
191,2,Australia,Sri Lanka,10.5,1,0,Victoria,"Simonds Stadium, South Geelong"
192,2,Australia,Sri Lanka,10.6,6,0,Victoria,"Simonds Stadium, South Geelong"
193,2,Australia,Sri Lanka,11.1,2,0,Victoria,"Simonds Stadium, South Geelong"
194,2,Australia,Sri Lanka,11.2,4,0,Victoria,"Simonds Stadium, South Geelong"
195,2,Australia,Sri Lanka,11.3,0,0,Victoria,"Simonds Stadium, South Geelong"
196,2,Australia,Sri Lanka,11.4,1,0,Victoria,"Simonds Stadium, South Geelong"
197,2,Australia,Sri Lanka,11.5,0,0,Victoria,"Simonds Stadium, South Geelong"
198,2,Australia,Sri Lanka,11.6,1,0,Victoria,"Simonds Stadium, South Geelong"
199,2,Australia,Sri Lanka,12.1,0,0,Victoria,"Simonds Stadium, South Geelong"
200,2,Australia,Sri Lanka,12.2,1,0,Victoria,"Simonds Stadium, South Geelong"
201,2,Australia,Sri Lanka,12.3,1,0,Victoria,"Simonds Stadium, South Geelong"
202,2,Australia,Sri Lanka,12.4,1,0,Victoria,"Simonds Stadium, South Geelong"
203,2,Australia,Sri Lanka,12.5,1,0,Victoria,"Simonds Stadium, South Geelong"
204,2,Australia,Sri Lanka,12.6,4,0,Victoria,"Simonds Stadium, South Geelong"
205,2,Australia,Sri Lanka,13.1,2,0,Victoria,"Simonds Stadium, South Geelong"
206,2,Australia,Sri Lanka,13.2,0,M Klinger,Victoria,"Simonds Stadium, South Geelong"
207,2,Australia,Sri Lanka,13.3,1,0,Victoria,"Simonds Stadium, South Geelong"
208,2,Australia,Sri Lanka,13.4,1,0,Victoria,"Simonds Stadium, South Geelong"
209,2,Australia,Sri Lanka,13.5,1,0,Victoria,"Simonds Stadium, South Geelong"
210,2,Australia,Sri Lanka,13.6,1,0,Victoria,"Simonds Stadium, South Geelong"
211,2,Australia,Sri Lanka,13.7,2,0,Victoria,"Simonds Stadium, South Geelong"
212,2,Australia,Sri Lanka,14.1,2,0,Victoria,"Simonds Stadium, South Geelong"
213,2,Australia,Sri Lanka,14.2,0,TM Head,Victoria,"Simonds Stadium, South Geelong"
214,2,Australia,Sri Lanka,14.3,1,0,Victoria,"Simonds Stadium, South Geelong"
215,2,Australia,Sri Lanka,14.4,1,0,Victoria,"Simonds Stadium, South Geelong"
216,2,Australia,Sri Lanka,14.5,1,0,Victoria,"Simonds Stadium, South Geelong"
217,2,Australia,Sri Lanka,14.6,1,0,Victoria,"Simonds Stadium, South Geelong"
218,2,Australia,Sri Lanka,15.1,1,0,Victoria,"Simonds Stadium, South Geelong"
219,2,Australia,Sri Lanka,15.2,2,0,Victoria,"Simonds Stadium, South Geelong"
220,2,Australia,Sri Lanka,15.3,2,0,Victoria,"Simonds Stadium, South Geelong"
221,2,Australia,Sri Lanka,15.4,1,0,Victoria,"Simonds Stadium, South Geelong"
222,2,Australia,Sri Lanka,15.5,3,0,Victoria,"Simonds Stadium, South Geelong"
223,2,Australia,Sri Lanka,15.6,0,AJ Turner,Victoria,"Simonds Stadium, South Geelong"
224,2,Australia,Sri Lanka,16.1,1,0,Victoria,"Simonds Stadium, South Geelong"
225,2,Australia,Sri Lanka,16.2,2,0,Victoria,"Simonds Stadium, South Geelong"
226,2,Australia,Sri Lanka,16.3,4,0,Victoria,"Simonds Stadium, South Geelong"
227,2,Australia,Sri Lanka,16.4,2,0,Victoria,"Simonds Stadium, South Geelong"
228,2,Australia,Sri Lanka,16.5,1,0,Victoria,"Simonds Stadium, South Geelong"
229,2,Australia,Sri Lanka,16.6,0,JP Faulkner,Victoria,"Simonds Stadium, South Geelong"
230,2,Australia,Sri Lanka,17.1,6,0,Victoria,"Simonds Stadium, South Geelong"
231,2,Australia,Sri Lanka,17.2,1,0,Victoria,"Simonds Stadium, South Geelong"
232,2,Australia,Sri Lanka,17.3,4,0,Victoria,"Simonds Stadium, South Geelong"
233,2,Australia,Sri Lanka,17.4,1,0,Victoria,"Simonds Stadium, South Geelong"
234,2,Australia,Sri Lanka,17.5,1,0,Victoria,"Simonds Stadium, South Geelong"
235,2,Australia,Sri Lanka,17.6,2,0,Victoria,"Simonds Stadium, South Geelong"
236,2,Australia,Sri Lanka,18.1,2,0,Victoria,"Simonds Stadium, South Geelong"
237,2,Australia,Sri Lanka,18.2,1,0,Victoria,"Simonds Stadium, South Geelong"
238,2,Australia,Sri Lanka,18.3,0,TD Paine,Victoria,"Simonds Stadium, South Geelong"
239,2,Australia,Sri Lanka,18.4,1,0,Victoria,"Simonds Stadium, South Geelong"
240,2,Australia,Sri Lanka,18.5,1,0,Victoria,"Simonds Stadium, South Geelong"
241,2,Australia,Sri Lanka,18.6,2,0,Victoria,"Simonds Stadium, South Geelong"
242,2,Australia,Sri Lanka,19.1,2,0,Victoria,"Simonds Stadium, South Geelong"
243,2,Australia,Sri Lanka,19.2,1,0,Victoria,"Simonds Stadium, South Geelong"
244,2,Australia,Sri Lanka,19.3,0,PJ Cummins,Victoria,"Simonds Stadium, South Geelong"
245,2,Australia,Sri Lanka,19.4,4,0,Victoria,"Simonds Stadium, South Geelong"
246,2,Australia,Sri Lanka,19.5,0,AJ Tye,Victoria,"Simonds Stadium, South Geelong"
247,2,Australia,Sri Lanka,19.6,0,JA Richardson,Victoria,"Simonds Stadium, South Geelong"
248,3,Australia,Sri Lanka,0.1,0,0,,Adelaide Oval
249,3,Australia,Sri Lanka,0.2,0,0,,Adelaide Oval
250,3,Australia,Sri Lanka,0.3,0,0,,Adelaide Oval
251,3,Australia,Sri Lanka,0.4,0,0,,Adelaide Oval
252,3,Australia,Sri Lanka,0.5,1,0,,Adelaide Oval
253,3,Australia,Sri Lanka,0.6,0,0,,Adelaide Oval
254,3,Australia,Sri Lanka,1.1,1,0,,Adelaide Oval
255,3,Australia,Sri Lanka,1.2,6,0,,Adelaide Oval
256,3,Australia,Sri Lanka,1.3,1,0,,Adelaide Oval
257,3,Australia,Sri Lanka,1.4,0,0,,Adelaide Oval
258,3,Australia,Sri Lanka,1.5,4,0,,Adelaide Oval
259,3,Australia,Sri Lanka,1.6,1,0,,Adelaide Oval
260,3,Australia,Sri Lanka,1.7,1,0,,Adelaide Oval
261,3,Australia,Sri Lanka,2.1,0,0,,Adelaide Oval
262,3,Australia,Sri Lanka,2.2,4,0,,Adelaide Oval
263,3,Australia,Sri Lanka,2.3,1,0,,Adelaide Oval
264,3,Australia,Sri Lanka,2.4,1,0,,Adelaide Oval
265,3,Australia,Sri Lanka,2.5,0,0,,Adelaide Oval
266,3,Australia,Sri Lanka,2.6,4,0,,Adelaide Oval
267,3,Australia,Sri Lanka,2.7,1,0,,Adelaide Oval
268,3,Australia,Sri Lanka,3.1,1,0,,Adelaide Oval
269,3,Australia,Sri Lanka,3.2,4,0,,Adelaide Oval
270,3,Australia,Sri Lanka,3.3,0,0,,Adelaide Oval
271,3,Australia,Sri Lanka,3.4,0,0,,Adelaide Oval
272,3,Australia,Sri Lanka,3.5,4,0,,Adelaide Oval
273,3,Australia,Sri Lanka,3.6,0,0,,Adelaide Oval
274,3,Australia,Sri Lanka,4.1,4,0,,Adelaide Oval
275,3,Australia,Sri Lanka,4.2,1,0,,Adelaide Oval
276,3,Australia,Sri Lanka,4.3,4,0,,Adelaide Oval
277,3,Australia,Sri Lanka,4.4,2,0,,Adelaide Oval
278,3,Australia,Sri Lanka,4.5,6,0,,Adelaide Oval
279,3,Australia,Sri Lanka,4.6,1,0,,Adelaide Oval
280,3,Australia,Sri Lanka,5.1,4,0,,Adelaide Oval
281,3,Australia,Sri Lanka,5.2,1,0,,Adelaide Oval
282,3,Australia,Sri Lanka,5.3,2,0,,Adelaide Oval
283,3,Australia,Sri Lanka,5.4,0,0,,Adelaide Oval
284,3,Australia,Sri Lanka,5.5,1,0,,Adelaide Oval
285,3,Australia,Sri Lanka,5.6,0,0,,Adelaide Oval
286,3,Australia,Sri Lanka,5.7,1,0,,Adelaide Oval
287,3,Australia,Sri Lanka,6.1,1,0,,Adelaide Oval
288,3,Australia,Sri Lanka,6.2,0,0,,Adelaide Oval
289,3,Australia,Sri Lanka,6.3,1,0,,Adelaide Oval
290,3,Australia,Sri Lanka,6.4,0,0,,Adelaide Oval
291,3,Australia,Sri Lanka,6.5,1,0,,Adelaide Oval
292,3,Australia,Sri Lanka,6.6,1,0,,Adelaide Oval
293,3,Australia,Sri Lanka,7.1,2,0,,Adelaide Oval
294,3,Australia,Sri Lanka,7.2,2,0,,Adelaide Oval
295,3,Australia,Sri Lanka,7.3,0,0,,Adelaide Oval
296,3,Australia,Sri Lanka,7.4,1,0,,Adelaide Oval
297,3,Australia,Sri Lanka,7.5,1,0,,Adelaide Oval
298,3,Australia,Sri Lanka,7.6,6,0,,Adelaide Oval
299,3,Australia,Sri Lanka,8.1,1,0,,Adelaide Oval
300,3,Australia,Sri Lanka,8.2,0,0,,Adelaide Oval
